職位名稱,公司名稱,工作經歷,公司連結,職位連結,ajax,php,mysql,javascript,jquery,css,linux,shell,python,aws,java,windows server 2012,c#,database management,security,tcp/ip,github,xml,cisco,dhcp,dns,firewall,juniper,load balancing,routers,ms sql,c,c++,perl,asp.net,html,vmware,freebsd,mac os,unix,systems analysis,cgi,go,node.js,google analytics,vpn,windows server 2008,tomcat,unity3d,scala,hadoop,postgresql,spring,excel,powerpoint,word,weblogic,squid,angularjs,android,http,oop,domino,jsp,oracle,objective-c,swift,reactnative,e-commerce,reactjs
雲端售前工程師,博弘雲端科技股份有限公司,6年以上,https://www.104.com.tw/company/d3axa9c,https://www.104.com.tw/job/6kaqu?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
系統工程師,聖勝科技有限公司,2年以上,https://www.104.com.tw/company/1a2x6bl2uf,https://www.104.com.tw/job/6tebp?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cloud Support Engineer – Big Data,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,5年以上,https://www.104.com.tw/company/1a2x6bjevl,https://www.104.com.tw/job/6hr9b?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
【研發組】後端研發工程師 Backend Developer,台北數位集團_台北數位廣告股份有限公司,不拘,https://www.104.com.tw/company/1a2x6biowk,https://www.104.com.tw/job/6ymh5?jobsource=jolist_b_relevance,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Front End Developer  資深前端工程師,鏈科股份有限公司,4年以上,https://www.104.com.tw/company/1a2x6bkq1p,https://www.104.com.tw/job/6gtbf?jobsource=jolist_b_relevance,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
系統開發工程師(技術長),配客嘉股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bl73o,https://www.104.com.tw/job/6xkkf?jobsource=jolist_b_relevance,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cloud Support Engineer – Database,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,4年以上,https://www.104.com.tw/company/1a2x6bjevl,https://www.104.com.tw/job/6kiqu?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
雲端解決方案架構師 Cloud Solution Architect,北祥科技服務股份有限公司,5年以上,https://www.104.com.tw/company/9mb0ddc,https://www.104.com.tw/job/6u0k2?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資訊部經理,德米科技智財有限公司,3年以上,https://www.104.com.tw/company/60kzdns,https://www.104.com.tw/job/6a3el?jobsource=jolist_b_relevance,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
運維/維運經理 (Devops),作品科技有限公司,5年以上,https://www.104.com.tw/company/1a2x6bkwtx,https://www.104.com.tw/job/6x9aw?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.NET 後端高級工程師,英屬維京群島商博裕科技有限公司台灣分公司,5年以上,https://www.104.com.tw/company/1a2x6bjzq0,https://www.104.com.tw/job/6xdmo?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LE-內湖科技大廠  誠徵維運/運維經理,艾肯國際開發有限公司,5年以上,https://www.104.com.tw/company/1a2x6bj03f,https://www.104.com.tw/job/6xdmm?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資深運維工程師(無需輪班/具市場競爭力薪資),奇點數位科技有限公司,不拘,https://www.104.com.tw/company/1a2x6bkgc8,https://www.104.com.tw/job/6lyqw?jobsource=jolist_b_relevance,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Java軟體工程師,經貿聯網科技股份有限公司,不拘,https://www.104.com.tw/company/weo29sg,https://www.104.com.tw/job/6blcb?jobsource=jolist_b_relevance,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
【運維】系統工程師,聖霏有限公司,2年以上,https://www.104.com.tw/company/1a2x6bl0n7,https://www.104.com.tw/job/6uml7?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
資料庫工程師,睿至股份有限公司,1年以上,https://www.104.com.tw/company/1a2x6bkt5t,https://www.104.com.tw/job/6x8j7?jobsource=jolist_b_relevance,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
資深全端工程師 Senior Full-Stack Software Engineer,高曼計量財務管理顧問股份有限公司,5年以上,https://www.104.com.tw/company/1a2x6bl4jz,https://www.104.com.tw/job/6xuu7?jobsource=jolist_b_relevance,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[R&D] 大數據後端工程師/軟體研發工程師,香港商慧科訊業有限公司台灣分公司,3年以上,https://www.104.com.tw/company/wiisc20,https://www.104.com.tw/job/5jkl3?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
敏捷式軟體開發經理 / 台北 外商日用消費品公司,萬豐人力資源管理顧問有限公司,5年以上,https://www.104.com.tw/company/1a2x6bjwm5,https://www.104.com.tw/job/6ot9t?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
全端工程師 Full-Stack Software Engineer,高曼計量財務管理顧問股份有限公司,2年以上,https://www.104.com.tw/company/1a2x6bl4jz,https://www.104.com.tw/job/6xuuc?jobsource=jolist_b_relevance,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
「大型知名外商流通業/通路端」徵求電子商務經理-限具備流通業/實體通路/零售產業之相關經驗者,新加坡商艾得克有限公司台灣分公司,4年以上,https://www.104.com.tw/company/wih3pyg,https://www.104.com.tw/job/6yj4v?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DevOps Engineer,英屬開曼群島商慧康生活科技股份有限公司台灣分公司,1年以上,https://www.104.com.tw/company/1a2x6biv7v,https://www.104.com.tw/job/6sfcn?jobsource=jolist_b_relevance,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資深PHP工程師,德義資訊股份有限公司,1年以上,https://www.104.com.tw/company/oe84aqo,https://www.104.com.tw/job/6mrtq?jobsource=jolist_b_relevance,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
